#,Reference,Qty,Value,Manufacturer,Manufacturer_Part_Number,Rated Voltage
1,"C1,C2,C4,C5,C9,C12,C13,C14,C15,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C37,C39,C40,C41,C42,C44,C45,C46,C47,C49,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C97,C99,C100,C101,C102,C103,C104,C105,C107,C109,C113,C114,C115,C116,C117,C123,C128,C133,C134,C146,C147,C148,C149,C150,C151",87,100nF,Walson Technology Corporation,,16V
2,"C3,C140",2,1nF,Yageo,,25V
3,C6,1,10nF,Yageo,,25V
4,"C7,C8,C31,C38,C43,C48,C95,C96,C98,C108,C111,C118,C122,C124,C135,C136",16,1uF,Murata Electronics,,35V
5,"C10,C11,C18,C36,C58,C59,C106,C110,C112,C119,C120,C125,C126,C129,C131,C138,C139,C141,C142,C143,C144",21,10uF,Murata Electronics,,25V
6,"C16,C17,C121,C145",4,4.7uF,Murata Electronics,,25V
7,"C50,C51,C52,C53,C54,C55,C56,C57,C60,C61,C62,C63,C80,C81,C82,C83",16,15pF,Walson Technology Corporation,,16V
8,C127,1,150pF,Walson Technology Corporation,,16V
9,C130,1,10pF,Yageo,,25V
10,C132,1,330pF,Yageo,,25V
11,C137,1,33nF,Yageo,,25V
12,CMC1,1,L_Coupled_1423,TDK Corporation,,
13,"D1,D2,D3,D4",4,BAT43W-7-F,,,
14,D5,1,V40D103C-M3_I,,V40D103C-M3/I,
15,D6,1,CBAT54S_TR_PBFREE,,CBAT54S TR PBFREE,
16,"FID1,FID2,FID3,FID4",4,Fiducial,n/a,,
17,J1,1,Conn_01x04_Pin,,,
18,J2,1,Conn_01x03_Male,n/a,,
19,"J3,J10",2,USB_C_Receptacle_USB2.0,JAE Electronics,,
20,J4,1,AudioJack3,CUI Devices,,
21,"J5,J6,J7,J8,J11,J12,J13,J14,J15,J16,J17,J18",12,Conn_Coaxial, TE Connectivity Linx,,
22,J9,1,Barrel_Jack_Switch,CUI Devices,,
23,"Jump1,Jump2,Jump3",3,Conn_01x02,,,
24,L1,1,XGL3530-332MEC,,XGL3530-332MEC,
25,L2,1,XAL6030-332MEC,,XAL6030-332MEC,
26,L3,1,744778910,,744778910,
27,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",9,LED,SunLED,,
28,"R1,R25,R97,R98,R99,R100,R101",7,100,Yageo,,
29,R2,1,1K,Yageo,,
30,"R3,R4,R5,R74,R75,R76,R77,R128,R129,R130,R131",11,10,Yageo,,
31,"R6,R7,R8,R16,R17,R18",6,10K,"KOA Speer Electronics, Inc.,Yageo",,
32,R9,1,27,Yageo,,
33,"R10,R11",2,201,Yageo,,
34,"R12,R23,R24,R86,R88,R89,R102,R114,R115,R126,R127",11,0,Yageo,,
35,"R13,R14,R15,R19,R20,R21,R22",7,330,Yageo,,
36,"R26,R27,R28,R29,R30,R31,R32,R33,R46,R47,R48,R49,R70,R71,R72,R73",16,40.2k,Yageo,,
37,"R34,R35,R36,R37,R38,R39,R40,R41,R63,R65,R67,R69,R82,R83,R84,R85,R105",17,10k,Yageo,,
38,"R42,R43,R44,R45,R78,R79,R80,R81",8,4.02k,Yageo,,
39,"R50,R51,R52,R53,R87,R121,R123",7,100k,Yageo,,
40,"R54,R55,R56,R57,R58,R59,R60,R61",8,4.75k,Yageo,,
41,"R62,R64,R66,R68",4,47.5k,Yageo,,
42,"R90,R113",2,470,Yageo,,
43,"R91,R92,R103,R104",4,5.1k,Yageo,,
44,"R93,R94,R95,R96",4,24,Yageo,,
45,R106,1,1.10k,Yageo,,
46,R107,1,4.27k,Yageo,,
47,R108,1,1.42k,Yageo,,
48,R109,1,1.82k,Yageo,,
49,R110,1,2.74k,Yageo,,
50,R111,1,1.18k,Yageo,,
51,R112,1,11.8k,Yageo,,
52,R116,1,57.6k,Yageo,,
53,R117,1,365k,Yageo,,
54,R118,1,130k,Yageo,,
55,R119,1,11.3k,Yageo,,
56,R120,1,1.5k,Yageo,,
57,R122,1,24.9k,Yageo,,
58,R124,1,13.7k,Yageo,,
59,R125,1,80.6k,Yageo,,
60,"RSh1,RSh2,RSh3,RSh4",4,CRCW120610R0FKEBC,,CRCW120610R0FKEBC,
61,"SW1,SW2,SW3,SW4,SW5",5,~,,,
62,"TVS1,TVS3,TVS5,TVS6,TVS7,TVS8,TVS9,TVS10,TVS11,TVS12,TVS13,TVS14,TVS15",13,ESD441DPLR,,ESD441DPLR,
63,TVS2,1,CDDFN10-3324P,,CDDFN10-3324P,
64,TVS4,1,TPD2EUSB30,Texas Instruments,,
65,"TVS16,TVS17,TVS18,TVS19",4,ESDSB12VLB-TP,,ESDSB12VLB-TP,
66,U1,1,RP2350B-QFN80,,,
67,U2,1,LM4040A30IDBZR,,LM4040A30IDBZR,
68,"U3,U4,U5",3,W25Q128JVS,,,
69,"U6,U7,U8,U9",4,LTC2642ACDD-16#PBF,,LTC2642ACDD-16#PBF,
70,"U10,U11,U12,U13,U15,U16",6,LT1678CS8#PBF,,LT1678CS8#PBF,
71,U14,1,LT1461CIS8-2.5#PBF,,LT1461CIS8-2.5#PBF,
72,"U17,U18,U19,U20",4,LM211DRG4,,LM211DRG4,
73,U21,1,TXB0102DCT,,,
74,U22,1,ADUM4160,Analog Devices Inc.,,
75,"U23,U24,U25,U31,U32",5,74LVCH2T45DC,Nexperia USA Inc.,,
76,U26,1,LTC3122HMSE#PBF,,LTC3122HMSE#PBF,
77,U27,1,LTC3115IDHD-2#WPBF,,LTC3115IDHD-2#WPBF,
78,U28,1,NCP1117-3.3_SOT223,,,
79,U29,1,NCP1117-12_SOT223,,,
80,U30,1,LM2990SX-12,,,
81,Xtal1,1,ECS-TXO-2016,ECS Inc.,,
82,Z1,1,PTV33B-M3_84A,,PTV33B-M3/84A,
83,Z2,1,PTV5.6B-M3_84A,,PTV5.6B-M3/84A,
84,"Z3,Z4",2,PTV15B-M3_84A,,PTV15B-M3/84A,
